"Gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene281",67,46,0,28,45,35
"Gene282",73,91,20,197,719,303
"Gene283",7,16,132,140,11,37
"Gene284",59,112,188,77,2,65
"Gene285",445,269,89,63,0,10
"Gene286",3,20,100,1,0,391
"Gene287",109,127,110,14,393,507
"Gene288",39,507,293,23,321,2
"Gene289",14,59,37,505,50,297
"Gene290",0,228,3,24,11,195
"Gene291",46,20,31,46,9,176
"Gene292",0,8,78,192,10,164
"Gene293",0,0,186,3,6,6
"Gene294",6,0,8,224,16,18
"Gene295",30,1,18,14,59,442
"Gene296",3,51,19,7,156,22
"Gene297",37,452,129,92,19,94
"Gene298",2,98,0,149,112,97
"Gene299",249,2,43,59,0,42
"Gene300",8,126,1,85,115,3
"Gene301",60,10,16,132,19,15
"Gene302",3,90,14,51,4,26
"Gene303",44,386,1,13,191,488
"Gene304",58,247,14,581,7,35
"Gene305",27,7,66,74,120,69
"Gene306",118,37,46,14,170,1
"Gene307",67,15,64,55,437,107
"Gene308",334,156,32,24,67,58
"Gene309",81,48,8,526,4,1
"Gene310",0,3,6,3,10,2
"Gene311",5,22,49,0,1,37
"Gene312",26,0,58,102,162,39
"Gene313",19,89,90,80,245,893
"Gene314",42,0,118,24,0,1
"Gene315",7,60,0,72,9,30
"Gene316",359,101,81,23,539,8
"Gene317",51,377,19,5,31,29
"Gene318",7,28,61,128,110,9
"Gene319",0,22,110,281,324,25
"Gene320",188,139,0,24,1,28
"Gene321",98,283,374,77,138,31
"Gene322",0,35,316,239,2,257
"Gene323",2,40,18,67,741,30
"Gene324",104,102,27,27,440,27
"Gene325",126,91,151,414,47,71
"Gene326",19,15,5,14,77,26
"Gene327",119,71,66,94,19,267
"Gene328",78,505,32,14,54,0
"Gene329",180,37,13,315,20,122
"Gene330",291,0,144,65,250,15
"Gene331",274,68,12,23,86,5
"Gene332",19,398,17,0,22,1
"Gene333",0,174,0,3,33,8
"Gene334",1,29,24,6,41,7
"Gene335",0,83,223,34,22,8
"Gene336",16,57,29,244,209,0
"Gene337",3,200,2,54,17,132
"Gene338",327,62,12,89,7,14
"Gene339",2,128,13,127,12,111
"Gene340",16,160,143,3,25,258
"Gene341",310,224,147,1,59,137
"Gene342",81,2,3,29,53,152
"Gene343",8,100,27,35,85,94
"Gene344",0,4,87,4,39,120
"Gene345",31,24,130,28,13,50
"Gene346",581,73,57,44,9,60
"Gene347",19,101,30,46,10,15
"Gene348",39,12,4,0,7,35
"Gene349",12,472,97,24,6,91
"Gene350",11,0,15,55,7,34
"Gene351",221,54,25,146,275,5
"Gene352",19,45,3,30,105,288
"Gene353",229,46,292,38,18,82
"Gene354",16,8,79,94,399,87
"Gene355",774,127,31,31,0,45
"Gene356",106,2,28,21,73,7
"Gene357",5,403,382,237,1,8
"Gene358",0,33,13,177,934,149
"Gene359",437,62,1,1043,123,18
"Gene360",6,102,0,307,36,1274
"Gene361",27,215,1,20,74,40
"Gene362",0,6,174,64,116,6
"Gene363",20,194,108,139,31,188
"Gene364",348,35,141,19,194,1
"Gene365",22,40,61,52,82,262
"Gene366",126,220,9,16,16,113
"Gene367",7,2,20,123,267,149
"Gene368",102,32,46,81,237,1
"Gene369",24,133,21,5,5,33
"Gene370",59,183,2,92,76,18
"Gene371",115,42,76,0,55,90
"Gene372",153,15,178,99,15,16
"Gene373",153,7,2,40,49,58
"Gene374",97,5,0,235,26,138
"Gene375",150,279,1,61,51,120
"Gene376",37,159,5,9,5,132
"Gene377",0,3,59,0,665,22
"Gene378",188,32,11,4,7,50
"Gene379",260,121,4,0,38,205
"Gene380",94,125,58,9,16,526
"Gene381",282,50,163,200,6,122
"Gene382",68,2,1,101,336,45
"Gene383",21,67,284,13,82,214
"Gene384",7,1,84,54,80,1
"Gene385",9,161,261,0,12,147
"Gene386",160,197,166,0,4,77
"Gene387",120,103,3,0,44,0
"Gene388",74,36,253,69,342,524
"Gene389",14,134,188,190,7,66
"Gene390",124,191,8,184,3,14
"Gene391",14,184,146,203,15,57
"Gene392",18,299,14,32,8,1
"Gene393",128,64,15,128,159,12
"Gene394",6,21,2,450,364,38
"Gene395",125,41,140,35,194,5
"Gene396",286,23,288,117,77,57
"Gene397",304,25,0,95,81,50
"Gene398",111,0,5,0,123,382
"Gene399",9,109,109,335,32,21
"Gene400",91,6,1,109,35,136
"Gene401",154,9,100,8,149,540
"Gene402",3,45,58,37,53,0
"Gene403",616,1,62,94,3,3
"Gene404",91,16,32,235,4,2
"Gene405",18,0,28,87,9,3
"Gene406",9,162,61,55,84,0
"Gene407",208,5,243,38,41,0
"Gene408",10,106,159,202,19,274
"Gene409",193,0,21,517,44,425
"Gene410",306,3,12,1,168,45
"Gene411",15,50,45,28,56,0
"Gene412",165,22,0,15,121,1
"Gene413",73,88,6,0,50,61
"Gene414",9,2,11,32,42,19
"Gene415",38,119,1,0,254,38
"Gene416",273,0,0,233,77,306
"Gene417",51,37,36,77,149,144
"Gene418",108,0,16,117,360,208
"Gene419",6,52,54,921,230,42
"Gene420",246,43,2,21,442,175
"Gene421",6,98,209,262,300,21
"Gene422",91,59,1,38,325,109
"Gene423",17,13,33,459,127,18
"Gene424",2,251,123,37,32,16
"Gene425",29,149,0,16,6,88
"Gene426",441,2,449,55,6,11
"Gene427",210,54,76,3,116,0
"Gene428",107,63,455,73,2,212
"Gene429",1,163,35,42,66,0
"Gene430",56,343,40,310,52,44
"Gene431",17,0,21,38,25,4
"Gene432",200,2,132,184,13,1193
"Gene433",2,34,45,51,57,37
"Gene434",11,22,19,27,68,64
"Gene435",29,42,64,86,270,11
"Gene436",402,177,192,15,48,30
"Gene437",159,0,20,98,11,16
"Gene438",25,575,13,49,41,4
"Gene439",35,0,256,5,1,16
"Gene440",6,3,56,108,9,674
"Gene441",93,4,0,53,101,3
"Gene442",91,75,271,34,197,194
"Gene443",11,104,29,58,1,12
"Gene444",17,4,78,5,19,0
"Gene445",25,195,3,242,14,17
"Gene446",142,70,45,10,97,387
"Gene447",557,2,0,705,294,43
"Gene448",3,49,70,102,134,23
"Gene449",345,4,57,85,33,57
"Gene450",278,2,2,7,450,14
"Gene451",0,49,8,99,147,234
"Gene452",22,13,51,143,25,10
"Gene453",133,206,64,99,4,6
"Gene454",43,120,81,5,1,10
"Gene455",1,62,250,35,5,0
"Gene456",498,8,118,153,75,0
"Gene457",152,19,66,139,196,0
"Gene458",13,3,79,49,54,4
"Gene459",22,15,32,183,76,43
"Gene460",1,34,63,58,12,96
"Gene461",164,228,22,0,8,63
"Gene462",15,0,15,11,74,0
"Gene463",190,63,5,200,0,0
"Gene464",6,0,10,30,202,252
"Gene465",40,64,211,11,18,25
"Gene466",24,169,0,3,31,0
"Gene467",0,17,47,0,112,115
"Gene468",9,12,4,37,49,87
"Gene469",44,39,0,224,104,350
"Gene470",29,276,26,9,1,0
"Gene471",143,4,56,7,15,85
"Gene472",16,12,19,22,15,368
"Gene473",133,8,307,12,14,71
"Gene474",442,128,0,291,112,312
"Gene475",113,41,13,34,229,150
"Gene476",1,32,138,291,0,9
"Gene477",8,94,181,118,12,2
"Gene478",46,1,376,40,0,28
"Gene479",108,144,136,0,43,53
"Gene480",83,190,0,156,62,183
"Gene481",5,0,97,105,46,79
"Gene482",104,34,299,0,46,135
"Gene483",70,2,6,19,449,5
"Gene484",15,13,171,4,209,50
"Gene485",10,130,271,375,148,25
"Gene486",3,190,244,35,95,111
"Gene487",0,119,40,0,25,4
"Gene488",10,1,158,3,162,7
"Gene489",207,113,0,302,33,60
"Gene490",5,3,33,31,25,3
"Gene491",50,80,115,81,177,146
"Gene492",53,11,12,7,37,0
"Gene493",120,12,0,6,153,220
"Gene494",133,51,134,308,148,61
"Gene495",142,9,98,49,20,595
"Gene496",27,140,9,186,116,183
"Gene497",176,50,203,380,18,136
"Gene498",223,76,70,8,598,91
"Gene499",74,185,172,71,457,95
"Gene500",38,51,176,41,262,132
"Gene501",3,3,0,85,10,22
"Gene502",2,97,752,13,57,15
"Gene503",179,88,287,1,59,12
"Gene504",6,0,76,30,52,19
"Gene505",71,684,11,77,2,26
"Gene506",98,124,0,114,4,21
"Gene507",6,180,0,3,410,98
"Gene508",13,138,23,70,273,66
"Gene509",418,82,589,206,8,0
"Gene510",17,0,3,23,173,1
"Gene511",0,17,0,27,29,130
"Gene512",68,68,285,336,88,53
"Gene513",164,53,7,154,701,114
"Gene514",19,78,0,54,29,514
"Gene515",35,60,31,85,1,185
"Gene516",0,50,123,1,487,3
"Gene517",19,6,35,63,43,115
"Gene518",531,1,99,16,1,304
"Gene519",0,26,92,263,109,44
"Gene520",77,356,567,43,6,136
"Gene521",1,67,7,44,241,210
"Gene522",661,42,77,180,147,322
"Gene523",214,0,131,12,161,21
"Gene524",277,0,172,6,28,57
"Gene525",2,200,15,117,4,269
"Gene526",414,65,124,6,0,0
"Gene527",176,6,20,331,42,2
"Gene528",175,21,377,7,103,77
"Gene529",384,4,9,7,15,190
"Gene530",25,390,65,120,8,1
"Gene531",209,95,55,0,10,593
"Gene532",52,19,154,3,7,17
"Gene533",911,33,0,13,9,277
"Gene534",1,278,275,1,61,120
"Gene535",146,31,160,107,18,1
"Gene536",1,231,313,607,117,263
"Gene537",22,61,685,345,397,96
"Gene538",315,466,256,34,17,17
"Gene539",152,10,20,55,104,120
"Gene540",155,364,200,11,5,218
"Gene541",105,138,104,1,20,539
"Gene542",7,14,406,383,41,36
"Gene543",12,86,97,2,1,484
"Gene544",19,257,131,126,23,1
"Gene545",156,1,186,58,17,38
"Gene546",55,6,6,388,225,184
"Gene547",356,2,371,9,22,330
"Gene548",77,27,207,142,493,204
"Gene549",43,29,174,32,307,3
"Gene550",39,23,59,12,32,330
"Gene551",1,41,10,60,70,69
"Gene552",9,0,98,3,33,1
"Gene553",132,0,18,143,3,14
"Gene554",168,122,19,128,21,142
"Gene555",27,1,258,215,3,7
"Gene556",155,136,25,1,22,2
"Gene557",98,0,104,10,26,32
"Gene558",2,249,91,0,73,267
"Gene559",4,0,3,148,64,5
"Gene560",54,149,120,90,55,2
"Gene561",490,10,110,10,96,4
"Gene562",29,98,2,98,0,491
"Gene563",501,18,151,87,12,101
"Gene564",3,978,214,241,20,238
"Gene565",112,1,68,360,242,350
"Gene566",25,121,1195,95,1,213
"Gene567",43,8,133,242,152,305
"Gene568",21,76,14,20,0,18
"Gene569",49,9,21,25,108,55
"Gene570",37,0,207,232,1,25
"Gene571",34,91,34,34,60,3
"Gene572",235,93,8,41,0,47
"Gene573",49,6,2,181,36,155
"Gene574",261,144,84,0,0,53
"Gene575",8,307,48,11,2,316
"Gene576",449,309,12,55,12,9
"Gene577",11,353,43,2,9,35
"Gene578",65,0,6,1,161,93
"Gene579",3,135,745,543,136,3
"Gene580",126,592,71,2,46,94
"Gene581",72,27,9,150,98,0
"Gene582",72,0,58,97,28,16
"Gene583",199,111,8,4,170,15
"Gene584",357,60,4,113,3,0
"Gene585",268,201,270,2,310,29
"Gene586",10,87,53,34,62,21
"Gene587",17,95,3,152,122,173
"Gene588",1,126,99,49,0,86
"Gene589",27,1,303,16,126,26
"Gene590",7,91,69,3,151,147
"Gene591",278,11,9,65,0,23
"Gene592",477,191,3,161,51,62
"Gene593",12,160,12,30,214,24
"Gene594",594,227,42,147,148,138
"Gene595",9,0,413,96,79,25
"Gene596",581,355,91,252,111,4
"Gene597",4,1,120,76,41,736
"Gene598",129,66,146,464,195,355
"Gene599",291,633,0,265,171,130
"Gene600",16,7,98,66,0,9
"Gene601",405,694,33,114,2,104
"Gene602",5,24,392,20,181,56
"Gene603",14,2,3,310,2,4
"Gene604",739,16,15,260,92,9
"Gene605",535,5,106,62,130,0
"Gene606",13,2,0,2,0,12
"Gene607",115,259,292,66,57,8
"Gene608",246,145,523,283,8,144
"Gene609",11,69,47,945,130,11
"Gene610",6,9,13,2,6,4
"Gene611",8,11,3,0,142,6
"Gene612",1,584,292,46,1,32
"Gene613",18,0,60,18,1,19
"Gene614",67,43,4,314,6,154
"Gene615",631,14,677,4,81,7
"Gene616",6,607,176,125,119,2
"Gene617",24,93,185,12,5,1
"Gene618",0,0,13,1,0,76
"Gene619",132,27,104,495,4,371
"Gene620",3,37,477,168,33,7
"Gene621",29,26,35,0,442,121
"Gene622",3,16,173,0,63,10
"Gene623",7,22,194,10,206,44
"Gene624",16,23,1047,13,143,26
"Gene625",24,21,293,172,2,165
"Gene626",108,414,8,38,14,11
"Gene627",16,264,7,344,4,58
"Gene628",9,9,43,22,109,20
"Gene629",27,10,7,0,0,26
"Gene630",175,0,179,115,49,1
"Gene631",255,308,11,318,28,87
"Gene632",345,32,65,165,60,74
"Gene633",6,2,65,93,187,139
"Gene634",16,26,8,3,7,123
"Gene635",198,11,9,1,1,0
"Gene636",139,1,4,11,0,10
"Gene637",265,207,1,62,314,161
"Gene638",163,10,42,28,65,66
"Gene639",10,347,39,25,78,6
"Gene640",0,61,3,135,55,13
"Gene641",159,139,20,7,54,0
"Gene642",409,0,0,16,73,27
"Gene643",48,381,138,73,202,64
"Gene644",223,270,28,21,3,3
"Gene645",48,71,24,125,63,110
"Gene646",7,541,9,98,18,1
"Gene647",360,114,20,86,0,673
"Gene648",20,115,2,1,59,38
"Gene649",145,144,8,52,54,8
"Gene650",13,19,410,1,7,0
"Gene651",29,32,0,2,159,176
"Gene652",339,206,95,138,30,1
"Gene653",26,426,179,218,25,8
"Gene654",57,20,128,0,130,55
"Gene655",198,64,58,202,81,3
"Gene656",28,0,14,127,83,97
"Gene657",45,2,24,208,518,56
"Gene658",19,42,0,12,183,2
"Gene659",493,192,116,308,59,324
"Gene660",53,9,96,5,3,329
"Gene661",5,8,80,1,42,174
"Gene662",217,311,33,57,26,4
"Gene663",2,31,37,5,353,142
"Gene664",6,1,111,104,92,71
"Gene665",96,14,157,229,89,61
"Gene666",0,318,78,103,229,163
"Gene667",7,5,210,41,530,30
"Gene668",2,208,10,2,215,14
"Gene669",197,379,222,106,271,270
"Gene670",98,2,563,229,1,192
"Gene671",0,27,53,11,355,628
"Gene672",138,3,341,0,421,10
"Gene673",149,2,0,0,27,38
"Gene674",50,60,57,175,170,0
"Gene675",6,154,18,32,3,2
"Gene676",33,30,189,69,4,91
"Gene677",29,64,130,222,100,26
"Gene678",28,160,1,71,17,1
"Gene679",490,432,273,12,88,119
"Gene680",4,53,15,50,25,31
"Gene681",0,6,5,0,37,240
"Gene682",163,312,289,47,20,42
"Gene683",22,2,4,100,5,1
"Gene684",89,396,0,7,36,213
"Gene685",10,180,39,51,2,15
"Gene686",88,4,34,680,33,80
"Gene687",209,105,10,72,4,90
"Gene688",126,1,108,192,14,35
"Gene689",52,0,37,2,176,171
"Gene690",156,20,121,3,13,44
"Gene691",185,76,41,0,131,3
"Gene692",1,0,27,40,42,216
"Gene693",0,21,0,25,83,277
"Gene694",34,10,17,16,32,293
"Gene695",38,1,8,16,4,10
"Gene696",103,42,0,9,23,0
"Gene697",198,19,11,9,148,171
"Gene698",225,270,10,69,70,25
"Gene699",35,93,2,0,378,4
"Gene700",4,9,89,0,16,6
"Gene701",46,1,149,10,279,1
"Gene702",208,45,321,13,71,93
"Gene703",2,117,103,2,104,291
"Gene704",52,118,1,1,13,94
"Gene705",74,253,17,264,177,46
"Gene706",10,3,1,12,234,165
"Gene707",112,5,202,76,116,1
"Gene708",9,42,1,220,213,0
"Gene709",57,1,3,0,108,13
"Gene710",39,19,18,135,0,192
"Gene711",11,0,32,45,403,6
"Gene712",0,133,0,0,198,77
"Gene713",270,356,2,147,243,38
"Gene714",86,2,18,109,11,56
"Gene715",150,271,4,11,6,23
"Gene716",18,58,30,29,34,236
"Gene717",86,2,555,0,1,4
"Gene718",76,33,55,17,0,15
"Gene719",12,5,59,296,23,13
"Gene720",740,6,0,471,291,5
"Gene721",16,72,35,29,527,22
"Gene722",12,125,10,413,282,16
"Gene723",370,148,16,89,56,1
"Gene724",16,63,25,11,44,276
"Gene725",94,92,0,339,5,3
"Gene726",62,5,195,0,6,124
"Gene727",10,88,58,186,70,335
"Gene728",37,82,587,26,36,97
"Gene729",3,342,11,1,151,15
"Gene730",196,123,206,141,54,189
"Gene731",53,27,3,76,0,113
"Gene732",316,2,2,190,97,18
"Gene733",356,376,39,85,163,96
"Gene734",18,5,12,542,37,138
"Gene735",19,24,147,270,10,0
"Gene736",9,77,92,93,20,226
"Gene737",20,17,96,47,30,6
"Gene738",134,67,176,0,45,24
"Gene739",26,97,243,10,18,4
"Gene740",11,7,6,27,63,3
"Gene741",295,7,2,15,0,20
"Gene742",3,144,49,68,71,54
"Gene743",0,21,0,0,0,114
"Gene744",179,110,0,5,13,13
"Gene745",24,618,0,84,3,13
"Gene746",110,42,15,62,0,5
"Gene747",60,115,3,118,12,1
"Gene748",421,14,3,8,347,0
"Gene749",293,262,70,181,48,109
"Gene750",121,253,2,91,28,67
"Gene751",7,15,3,3,10,267
"Gene752",0,26,421,188,330,329
"Gene753",75,159,4,1,79,24
"Gene754",7,58,216,169,53,52
"Gene755",2,464,16,0,113,27
"Gene756",642,16,1,36,4,15
"Gene757",342,199,56,0,7,345
"Gene758",12,52,14,474,9,286
"Gene759",51,210,0,38,206,194
"Gene760",115,26,262,529,3,1
"Gene761",75,0,83,16,95,231
"Gene762",67,286,1,284,4,54
"Gene763",242,23,1,3,10,36
"Gene764",6,124,39,86,621,0
"Gene765",294,17,423,24,39,0
"Gene766",18,38,58,80,145,2
"Gene767",76,183,37,0,6,107
"Gene768",135,4,4,67,217,6
"Gene769",489,48,11,47,23,0
"Gene770",221,207,64,34,47,16
"Gene771",145,71,4,78,31,0
"Gene772",100,0,21,67,47,83
